                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7201,                 5.4417,                 2.3576,                0.38728,                0.24821,                0.28743,                0.13885,                 2.0262,                 19.184,                 2.7837,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.1069,                 2.0856,                 1.8816,                0.38558,                0.48571,                0.44919,                0.26532,                 1.8847,                 3.4109,                 3.3827,             0.00041262,             0.00041262,             0.00041262
                      3,                 1.1529,                 1.5627,                 1.8546,                 0.1372,                  0.125,                0.09727,                0.03994,                 2.4124,                 4.6712,                 3.4834,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.2143,                 1.4369,                 1.9139,                0.69869,                  0.225,                 0.1712,                0.05153,                 3.3365,                  5.372,                 4.5053,             0.00082492,             0.00082492,             0.00082492
                      5,                  1.161,                 1.3829,                 1.8769,                0.83871,                 0.2625,                0.28315,                 0.0779,                 2.7235,                 10.752,                 3.8611,              0.0010246,              0.0010246,              0.0010246
                      6,                  1.282,                 1.3033,                 1.9493,                0.71638,                 0.4125,                0.44297,                0.18264,                 2.0225,                 5.4871,                 3.0808,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.3763,                 1.3763,                 1.9926,                0.79036,                 0.3375,                0.26497,                0.10711,                 2.5088,                 3.5791,                 3.2565,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.3319,                 1.3863,                 2.0034,                0.65682,                0.30276,                0.21633,                0.08053,                 2.4133,                 6.6112,                 3.3645,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2602,                 1.3244,                 1.9699,                0.75614,                  0.375,                0.30913,                0.14162,                 2.3444,                 6.3097,                 3.5295,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2947,                 1.3362,                  2.001,                0.74902,                 0.2375,                0.25345,                0.07322,                 2.7714,                 5.1977,                 4.0103,               0.001535,               0.001535,               0.001535
                     11,                  1.241,                 1.3498,                 1.9568,                0.24494,                   0.25,                 0.2224,                0.08179,                 2.7095,                 6.1357,                  3.768,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2627,                 1.2425,                 1.9123,                0.62986,                  0.275,                0.16448,                 0.0588,                 2.1065,                 7.4223,                 3.3264,               0.001502,               0.001502,               0.001502
                     13,                 1.2687,                 1.2737,                 2.0112,                0.64194,                 0.2375,                0.17545,                0.05796,                 2.2222,                 4.7353,                 2.9754,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1827,                 1.2158,                 1.9073,                0.21885,                0.49464,                0.20295,                 0.0746,                 2.2845,                 3.3744,                 2.9941,               0.001469,               0.001469,               0.001469
                     15,                 1.2579,                 1.2116,                 1.9186,                0.78669,                 0.3625,                0.37304,                0.18491,                 2.1553,                 2.7061,                 2.7302,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.2286,                  1.169,                 1.9196,                0.90819,                0.33356,                 0.4571,                0.23629,                 2.0037,                 2.0899,                 2.8359,               0.001436,               0.001436,               0.001436
                     17,                 1.2245,                 1.1606,                 1.9071,                0.36903,                0.67178,                0.46256,                0.24891,                 1.7159,                 2.1762,                 2.7498,              0.0014195,              0.0014195,              0.0014195
