                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.314,                 4.8328,                  1.937,                0.43348,                0.50893,                0.48706,                0.32146,                 1.0029,                 5.9079,                  1.787,             0.00020004,             0.00020004,             0.00020004
                      2,                 0.9633,                 2.8115,                 1.7533,                0.42446,                0.58393,                0.38479,                0.17471,                  1.663,                 5.6288,                 2.9636,             0.00041262,             0.00041262,             0.00041262
                      3,                0.95967,                  2.209,                  1.742,                0.11616,                0.50893,                0.12522,                0.05361,                  1.609,                 9.0449,                 2.5432,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.1292,                 1.9543,                  1.889,                0.41428,                0.54643,                0.51535,                0.29567,                 1.5612,                 6.8195,                 3.3444,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.1607,                 2.0545,                 1.9114,                0.60326,                  0.475,                0.14204,                0.07094,                 1.3698,                 49.851,                 3.3664,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.2403,                 1.6788,                 1.9953,                0.77273,                   0.15,                0.23369,                0.08745,                 2.8426,                 12.246,                 7.8258,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.1584,                 1.6905,                 1.8189,                0.62266,                   0.45,                0.19491,                0.08304,                 1.7311,                 13.212,                 2.8108,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.2934,                 1.5201,                 1.9861,                0.26511,                0.31964,                0.19682,                0.06144,                 3.0455,                 3.3396,                 4.5854,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3181,                  1.564,                 1.9888,                0.04088,                0.61607,                0.06331,                0.01954,                 2.6835,                 48.926,                 6.0444,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2283,                 1.2856,                  1.909,                0.07452,                0.46429,                0.05537,                 0.0162,                  2.927,                 31.379,                 7.0271,               0.001535,               0.001535,               0.001535
                     11,                 1.1551,                 1.2736,                 1.8406,                0.56759,                    0.3,                0.08021,                0.02596,                 2.1899,                  6.763,                 6.2991,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2021,                 1.3201,                 1.9418,                0.12343,                 0.1375,                0.08973,                0.03056,                  2.509,                 2.9537,                 4.4075,               0.001502,               0.001502,               0.001502
                     13,                 1.2351,                 1.4356,                 1.9062,                0.11648,                0.18571,                0.11351,                0.05211,                 2.1332,                 2.9761,                 3.1598,              0.0014855,              0.0014855,              0.0014855
