                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0162,                 2.5669,                 1.5334,                0.64398,                 0.5633,                0.61776,                0.46268,                0.95461,                 6.4589,                 1.6596,             0.00020004,             0.00020004,             0.00020004
                      2,                 0.8687,                 1.3098,                 1.4105,                0.69295,                0.59022,                0.56734,                0.43715,                 1.0673,                 1.4413,                 1.8389,             0.00041262,             0.00041262,             0.00041262
                      3,                0.88164,                 1.1366,                 1.3927,                 0.5156,                0.66607,                0.54803,                0.34344,                 1.3475,                 1.6235,                  2.383,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.0263,                 1.1647,                 1.5002,                0.69029,                 0.2375,                0.27601,                0.17707,                 1.6767,                 3.8895,                 2.5298,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.0045,                 1.1297,                 1.4547,                0.49059,                0.57857,                0.52661,                0.30776,                 1.5956,                 4.4774,                 2.7641,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.0394,                 1.1183,                 1.5045,                0.19367,                0.28036,                0.10636,                0.03103,                 3.0301,                 21.974,                    4.5,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.0855,                 1.1942,                 1.5211,                0.09204,                0.10714,                0.07382,                0.01452,                 4.3093,                 3.9367,                  5.668,              0.0014112,              0.0014112,              0.0014112
                      8,                  1.071,                 1.0545,                 1.4865,                0.16166,                0.16071,                0.11815,                0.07685,                 2.8848,                 6.2995,                 3.8933,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.046,                 1.0292,                 1.5114,                0.03619,                0.24107,                0.02022,                0.00526,                 3.6791,                 14.602,                 4.5239,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.059,                 1.0179,                 1.4944,                0.00838,                0.26607,                0.00435,                0.00109,                 3.8868,                 94.069,                 4.6227,               0.001535,               0.001535,               0.001535
                     11,                 1.0542,                 1.1028,                 1.5525,                0.06091,                0.37679,                0.05135,                0.01591,                 2.7309,                 5.0116,                 3.3264,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0762,                  0.985,                 1.4844,                0.66668,                   0.25,                0.22383,                0.12135,                 2.2103,                 3.7603,                 2.8311,               0.001502,               0.001502,               0.001502
                     13,                 1.0861,                 1.0677,                 1.5607,                0.92912,                0.30277,                0.42614,                0.23602,                 1.8283,                 2.5905,                 2.5968,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0963,                 1.0482,                  1.527,                 0.4838,                0.48336,                0.47527,                0.21439,                 1.9044,                 2.7408,                 2.6648,               0.001469,               0.001469,               0.001469
                     15,                 1.1466,                 1.0632,                 1.5339,                0.94087,                0.37283,                0.47258,                0.23217,                 1.8945,                 2.3443,                 2.9023,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1082,                 0.9999,                 1.5133,                0.40825,                0.60593,                0.57174,                0.33016,                 1.4924,                 1.4106,                 2.2835,               0.001436,               0.001436,               0.001436
                     17,                 1.0651,                0.97714,                 1.4904,                0.45184,                0.70441,                0.56635,                0.27177,                 1.7235,                  1.749,                 2.6823,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0748,                0.93368,                 1.5265,                0.76681,                0.51071,                 0.5235,                0.34731,                 1.5006,                 1.5383,                 2.4638,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0794,                 0.9643,                 1.5161,                0.53792,                0.54464,                0.51758,                0.31783,                 1.5786,                 1.4377,                 2.3208,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0965,                 1.0426,                 1.5217,                0.57916,                0.70944,                  0.737,                0.38714,                 1.4716,                 1.4327,                 2.1951,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.0418,                0.95573,                 1.5548,                0.71777,                 0.6633,                0.69932,                0.43083,                 1.4369,                 1.3227,                  2.187,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0609,                0.95398,                  1.496,                0.58595,                0.69741,                0.69467,                0.40963,                 1.4494,                 1.3239,                 2.1825,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0966,                 1.0098,                 1.5097,                0.40973,                0.60357,                0.44299,                0.24992,                 1.6443,                  1.635,                 2.3224,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.0462,                 1.0292,                 1.4875,                0.52384,                0.63036,                0.65731,                0.42627,                 1.3292,                 1.3322,                 2.0798,              0.0013039,              0.0013039,              0.0013039
                     25,                0.88889,                0.81635,                 1.3564,                0.60005,                0.63036,                0.64203,                0.41674,                 1.2421,                  1.358,                 2.0469,              0.0012874,              0.0012874,              0.0012874
                     26,                0.99647,                 0.9279,                 1.4693,                0.64825,                   0.75,                0.70537,                0.48867,                 1.1873,                 1.0215,                 1.9889,              0.0012709,              0.0012709,              0.0012709
                     27,                0.93027,                0.83225,                 1.3854,                 0.6811,                0.78727,                0.78735,                0.45571,                 1.2775,                 1.2117,                 2.0385,              0.0012544,              0.0012544,              0.0012544
                     28,                0.96521,                0.96457,                 1.4833,                0.71017,                0.78393,                  0.728,                0.49049,                 1.2343,                0.96675,                 1.9852,              0.0012379,              0.0012379,              0.0012379
                     29,                0.96938,                0.90642,                 1.4449,                0.59718,                0.72321,                0.72806,                0.49171,                 1.2298,                 1.0622,                 1.9307,              0.0012214,              0.0012214,              0.0012214
                     30,                0.87795,                0.83136,                 1.3661,                0.64124,                0.82644,                0.72728,                0.46267,                 1.2736,                 1.0567,                 1.9666,              0.0012049,              0.0012049,              0.0012049
                     31,                0.89128,                0.82984,                 1.3795,                0.68368,                0.78374,                0.72274,                0.52618,                 1.1403,                0.96188,                 1.9317,              0.0011884,              0.0011884,              0.0011884
                     32,                0.90108,                0.79001,                 1.3896,                0.66967,                0.85714,                0.69143,                0.49821,                 1.0992,                0.92049,                 1.8075,              0.0011719,              0.0011719,              0.0011719
                     33,                0.89078,                0.78064,                 1.3501,                0.66156,                0.79241,                0.73739,                0.48505,                 1.1974,                0.88464,                 1.8688,              0.0011554,              0.0011554,              0.0011554
                     34,                0.83063,                0.69856,                 1.3146,                0.74206,                0.78393,                0.80964,                0.51035,                 1.0992,                0.95688,                 1.7947,              0.0011389,              0.0011389,              0.0011389
                     35,                0.93849,                0.83166,                 1.4041,                0.57267,                0.65179,                0.59648,                0.35299,                 1.4729,                 1.1214,                 2.1642,              0.0011224,              0.0011224,              0.0011224
                     36,                0.87967,                0.74149,                 1.3555,                0.62801,                0.65357,                0.68461,                0.44215,                 1.3166,                0.99412,                 1.9361,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.8682,                0.77911,                 1.3631,                0.76082,                0.80893,                0.74792,                0.46104,                 1.2113,                 1.0299,                 1.8563,              0.0010894,              0.0010894,              0.0010894
                     38,                0.90986,                0.78181,                  1.385,                0.71265,                0.77539,                0.73259,                0.46309,                 1.2856,                0.90876,                 1.9058,              0.0010729,              0.0010729,              0.0010729
                     39,                0.93574,                0.82202,                 1.3871,                0.70347,                0.71678,                 0.7251,                 0.4654,                  1.265,                0.95546,                 1.8481,              0.0010564,              0.0010564,              0.0010564
                     40,                0.88246,                0.78678,                 1.3821,                0.68854,                0.65357,                0.68584,                0.50101,                 1.1155,                0.95988,                 1.7351,              0.0010399,              0.0010399,              0.0010399
                     41,                0.86333,                0.72947,                 1.3356,                0.63874,                0.70179,                0.72697,                0.53254,                 1.0495,                0.93806,                 1.7012,              0.0010234,              0.0010234,              0.0010234
                     42,                0.80314,                0.70498,                 1.2953,                0.71129,                0.72122,                0.75377,                0.55855,                0.99052,                 0.9913,                  1.681,              0.0010069,              0.0010069,              0.0010069
                     43,                0.80517,                0.71096,                 1.2987,                0.75157,                0.74821,                0.73076,                0.48525,                  1.207,                 1.0342,                 1.9796,             0.00099036,             0.00099036,             0.00099036
                     44,                0.84573,                0.74913,                 1.3459,                0.62482,                0.85536,                 0.7035,                0.48352,                 1.2219,                0.95805,                 1.9791,             0.00097386,             0.00097386,             0.00097386
                     45,                0.79906,                0.72022,                 1.3145,                0.73923,                 0.7785,                0.70822,                0.50652,                 1.0378,                0.91593,                 1.7909,             0.00095736,             0.00095736,             0.00095736
                     46,                0.83115,                0.73455,                 1.3277,                0.75019,                0.80893,                0.72024,                0.52543,                0.97654,                0.76779,                  1.692,             0.00094085,             0.00094085,             0.00094085
                     47,                0.78698,                0.66548,                 1.3031,                0.69338,                0.92857,                0.79449,                  0.564,                0.98507,                0.72292,                 1.6436,             0.00092435,             0.00092435,             0.00092435
                     48,                0.83906,                0.73157,                  1.349,                0.74723,                0.82143,                0.76285,                0.54594,                0.94936,                0.71253,                 1.5936,             0.00090785,             0.00090785,             0.00090785
                     49,                0.80013,                0.67674,                 1.3102,                0.75595,                0.74934,                 0.7508,                0.56348,                0.99471,                0.73422,                 1.6287,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.8137,                0.71215,                 1.3046,                0.87175,                0.77321,                0.83792,                0.58497,                 1.0201,                0.78891,                 1.6746,             0.00087484,             0.00087484,             0.00087484
                     51,                0.79236,                0.68123,                  1.302,                0.85891,                0.69255,                0.73971,                0.51954,                 1.0686,                0.87303,                 1.7152,             0.00085834,             0.00085834,             0.00085834
                     52,                0.77759,                0.66249,                 1.2909,                0.78488,                0.79643,                 0.7847,                0.52619,                 1.1089,                 0.8486,                 1.8407,             0.00084184,             0.00084184,             0.00084184
                     53,                0.82089,                0.69852,                 1.3177,                0.71802,                0.75445,                0.75166,                 0.5174,                 1.1943,                0.89484,                 1.8921,             0.00082533,             0.00082533,             0.00082533
                     54,                0.80122,                0.68657,                 1.3124,                0.72125,                0.77321,                0.77271,                0.55211,                 1.0961,                 0.7902,                 1.7361,             0.00080883,             0.00080883,             0.00080883
                     55,                0.75663,                0.64805,                 1.2644,                0.73233,                0.78571,                0.78409,                0.56005,                 1.0806,                0.71018,                 1.7507,             0.00079233,             0.00079233,             0.00079233
                     56,                0.74835,                 0.6222,                 1.2591,                0.71953,                0.84464,                 0.7924,                0.52454,                 1.1608,                0.74198,                 1.8255,             0.00077582,             0.00077582,             0.00077582
                     57,                0.75041,                0.61633,                 1.2747,                0.75259,                0.76071,                 0.7265,                0.48907,                 1.1389,                0.87674,                 1.8429,             0.00075932,             0.00075932,             0.00075932
                     58,                0.78072,                0.65267,                 1.3014,                0.67529,                0.78434,                0.66657,                0.48853,                 1.1336,                0.83637,                  1.861,             0.00074282,             0.00074282,             0.00074282
                     59,                0.74516,                0.64399,                 1.2496,                 0.7063,                0.79643,                0.70003,                0.49351,                 1.1285,                0.83216,                 1.9202,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.7229,                0.60653,                 1.2534,                0.67633,                0.75128,                0.74099,                0.52162,                 1.1701,                 0.8805,                 1.9489,             0.00070981,             0.00070981,             0.00070981
                     61,                0.70616,                0.65173,                 1.2491,                0.65041,                0.79643,                0.74636,                0.53117,                 1.1526,                0.84122,                 1.8833,             0.00069331,             0.00069331,             0.00069331
                     62,                0.67325,                0.58345,                 1.1937,                0.70096,                0.80893,                0.74119,                0.53559,                 1.0156,                0.81694,                 1.6842,              0.0006768,              0.0006768,              0.0006768
                     63,                0.66661,                 0.5672,                 1.1938,                0.69003,                0.88036,                0.81368,                0.56377,                0.98856,                0.74432,                 1.6675,              0.0006603,              0.0006603,              0.0006603
                     64,                0.70477,                0.60677,                 1.2415,                0.83959,                0.84464,                0.82884,                0.56719,                0.98038,                0.74202,                 1.6709,              0.0006438,              0.0006438,              0.0006438
                     65,                0.69267,                0.55166,                 1.2012,                0.78588,                0.88036,                0.77909,                0.54595,                 1.0256,                0.66915,                 1.7266,             0.00062729,             0.00062729,             0.00062729
                     66,                0.70357,                0.60778,                 1.2254,                0.66693,                0.83795,                0.68953,                0.52457,                 1.0681,                0.73755,                 1.7903,             0.00061079,             0.00061079,             0.00061079
                     67,                0.69202,                0.55996,                 1.2404,                0.74691,                0.78393,                0.77492,                0.52338,                 1.1413,                0.71641,                 1.8325,             0.00059429,             0.00059429,             0.00059429
                     68,                0.66265,                0.57562,                 1.2083,                0.69391,                0.82431,                0.73172,                0.53253,                 1.0359,                0.72334,                 1.7032,             0.00057778,             0.00057778,             0.00057778
                     69,                0.70471,                0.55704,                 1.2374,                 0.7519,                 0.7586,                0.74549,                0.54157,                 1.0095,                0.71242,                 1.7012,             0.00056128,             0.00056128,             0.00056128
                     70,                0.66431,                0.55112,                 1.1749,                 0.7267,                0.76071,                0.71847,                0.52086,                 1.0212,                0.74809,                 1.7075,             0.00054478,             0.00054478,             0.00054478
                     71,                0.71954,                0.60436,                 1.2379,                 0.7212,                0.76953,                0.70668,                0.51468,                 1.0017,                0.79509,                 1.7086,             0.00052827,             0.00052827,             0.00052827
                     72,                0.62484,                0.54505,                 1.1694,                0.75095,                0.80893,                0.75625,                0.55278,                0.97195,                0.72185,                  1.615,             0.00051177,             0.00051177,             0.00051177
                     73,                0.68225,                 0.5374,                 1.2228,                0.70973,                0.88036,                0.76149,                0.54538,                0.98251,                0.71793,                 1.6492,             0.00049527,             0.00049527,             0.00049527
                     74,                0.62687,                 0.5076,                  1.155,                0.74588,                0.80893,                0.80177,                0.55895,                0.97704,                0.69001,                 1.6422,             0.00047876,             0.00047876,             0.00047876
                     75,                0.60751,                0.53343,                 1.1747,                0.86147,                0.79643,                0.81808,                0.56912,                0.94543,                0.61712,                 1.6058,             0.00046226,             0.00046226,             0.00046226
                     76,                0.63877,                0.50044,                 1.1841,                0.81757,                0.88171,                0.83939,                0.56558,                0.93438,                0.58871,                  1.611,             0.00044576,             0.00044576,             0.00044576
                     77,                0.61929,                0.49659,                 1.1822,                0.84944,                 0.8374,                0.80093,                 0.5559,                0.94502,                0.59911,                 1.6142,             0.00042925,             0.00042925,             0.00042925
                     78,                0.63834,                0.51765,                 1.1824,                0.78792,                0.79481,                0.74779,                0.54261,                0.97022,                0.66009,                 1.6285,             0.00041275,             0.00041275,             0.00041275
                     79,                0.65477,                0.50174,                 1.2012,                0.75399,                  0.725,                0.72087,                0.54534,                0.95183,                0.64743,                 1.6529,             0.00039625,             0.00039625,             0.00039625
                     80,                0.61563,                0.49035,                 1.1727,                0.73591,                0.79643,                 0.7347,                0.56933,                0.96789,                0.66009,                 1.7123,             0.00037974,             0.00037974,             0.00037974
                     81,                0.60428,                0.50107,                 1.1538,                0.73689,                 0.8014,                 0.7532,                0.57899,                0.99045,                0.62002,                 1.7605,             0.00036324,             0.00036324,             0.00036324
                     82,                0.64981,                0.51968,                  1.194,                0.76128,                0.80893,                0.76846,                0.57436,                 1.0066,                0.55488,                 1.7464,             0.00034674,             0.00034674,             0.00034674
                     83,                0.59814,                0.49205,                 1.1515,                0.81056,                0.82143,                 0.8018,                0.58879,                 1.0353,                0.53368,                 1.7361,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.6212,                0.50017,                 1.1752,                0.85645,                 0.8315,                0.84316,                0.59666,                0.96395,                0.59381,                 1.6436,             0.00031373,             0.00031373,             0.00031373
                     85,                0.61833,                0.49989,                 1.1564,                0.83304,                0.80893,                0.78028,                0.58583,                0.98279,                0.57561,                 1.6974,             0.00029723,             0.00029723,             0.00029723
                     86,                0.58791,                 0.4777,                 1.1564,                0.81139,                0.80242,                 0.7765,                0.59357,                0.98972,                0.58133,                 1.7417,             0.00028072,             0.00028072,             0.00028072
                     87,                0.58693,                  0.477,                 1.1608,                0.80245,                0.81468,                0.77093,                0.58071,                 1.0078,                0.60676,                 1.7496,             0.00026422,             0.00026422,             0.00026422
                     88,                0.62914,                0.52887,                 1.2065,                0.80228,                0.81076,                0.75133,                0.55019,                 1.0023,                0.61228,                 1.7102,             0.00024772,             0.00024772,             0.00024772
                     89,                0.58716,                0.46592,                  1.132,                0.80366,                0.81029,                0.75178,                0.55588,                0.99464,                0.62998,                 1.7342,             0.00023121,             0.00023121,             0.00023121
                     90,                0.58254,                0.47208,                 1.1602,                0.74605,                0.81766,                0.74365,                0.56524,                0.99764,                0.61196,                  1.758,             0.00021471,             0.00021471,             0.00021471
                     91,                0.51497,                0.54464,                 1.1783,                0.75442,                0.80893,                 0.7715,                0.58889,                0.96407,                0.58507,                 1.7309,             0.00019821,             0.00019821,             0.00019821
                     92,                0.45221,                0.40693,                 1.1142,                0.77712,                0.81634,                0.78107,                0.57885,                0.96547,                0.58021,                 1.7361,              0.0001817,              0.0001817,              0.0001817
                     93,                0.45283,                0.38127,                 1.1252,                0.75177,                0.82143,                0.79372,                0.57906,                0.96171,                  0.575,                 1.7208,              0.0001652,              0.0001652,              0.0001652
                     94,                0.45533,                0.36467,                 1.1235,                0.83215,                0.78571,                0.80395,                0.59139,                  0.932,                0.56616,                 1.6623,              0.0001487,              0.0001487,              0.0001487
                     95,                0.46585,                0.42403,                 1.1298,                0.84759,                0.78571,                0.82862,                0.61348,                0.95242,                0.56508,                 1.6851,             0.00013219,             0.00013219,             0.00013219
                     96,                0.43941,                0.36318,                 1.1081,                0.77798,                0.82143,                0.81887,                0.61424,                0.94703,                0.55822,                 1.6845,             0.00011569,             0.00011569,             0.00011569
                     97,                0.44777,                0.36406,                 1.1204,                0.74975,                0.82143,                0.80314,                0.60685,                0.95859,                0.54119,                 1.7054,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.40839,                0.33088,                 1.0799,                0.76992,                0.82095,                0.80463,                0.60671,                0.97537,                0.54167,                 1.7246,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.44293,                0.41667,                 1.1627,                0.75483,                0.82143,                0.79047,                0.60228,                0.95041,                0.52996,                 1.6778,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.40039,                0.31598,                 1.0605,                0.81545,                   0.75,                0.77788,                0.60785,                0.95422,                 0.5104,                 1.6625,             4.9677e-05,             4.9677e-05,             4.9677e-05
