                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8005,                 1.2875,                  1.192,                0.45489,                 0.7375,                0.56289,                 0.4206,                 1.2281,                 1.9877,                 2.0408,             0.00054104,             0.00054104,             0.00054104
                      2,                0.82525,                0.83488,                 1.1759,                0.56381,                0.39286,                0.43818,                0.16593,                 1.7897,                 2.7515,                 2.7317,              0.0010859,              0.0010859,              0.0010859
                      3,                0.84301,                0.82945,                 1.1822,                0.44029,                0.48962,                0.41644,                0.22464,                 1.8314,                 3.0776,                 2.9889,              0.0016197,              0.0016197,              0.0016197
                      4,                0.87291,                0.81736,                 1.2013,                  0.371,                0.39821,                0.38017,                0.21743,                 1.9424,                 3.0274,                 2.6155,              0.0016175,              0.0016175,              0.0016175
                      5,                0.84108,                0.80866,                 1.1766,                0.11346,                0.39821,                0.13338,                 0.0679,                 2.3979,                 5.6834,                 2.9572,              0.0016175,              0.0016175,              0.0016175
                      6,                0.84511,                0.75541,                 1.1661,                0.82378,                  0.325,                0.37039,                0.20387,                 1.7903,                 2.4895,                 2.3862,               0.001601,               0.001601,               0.001601
                      7,                0.84606,                0.72968,                 1.1888,                0.76386,                  0.625,                0.67976,                0.39679,                  1.332,                 1.6493,                 2.3907,              0.0015845,              0.0015845,              0.0015845
                      8,                0.78921,                0.69352,                 1.1444,                0.67972,                0.83731,                0.73062,                 0.4441,                 1.3797,                 1.2679,                 2.1885,               0.001568,               0.001568,               0.001568
                      9,                0.76704,                0.64977,                 1.1301,                0.52942,                0.82143,                0.64303,                0.44852,                 1.0445,                  1.092,                  1.764,              0.0015515,              0.0015515,              0.0015515
                     10,                 0.7709,                0.66161,                 1.1306,                0.56555,                0.65887,                0.54264,                0.26976,                 1.5571,                 1.5576,                 2.3003,               0.001535,               0.001535,               0.001535
                     11,                0.74983,                0.62237,                 1.1145,                 0.5161,                 0.7375,                0.64352,                0.41245,                  1.197,                  1.356,                 1.9532,              0.0015185,              0.0015185,              0.0015185
                     12,                0.71487,                0.58621,                 1.1019,                0.73233,                0.84266,                0.74472,                0.48776,                 1.0758,                 1.0911,                 1.6783,               0.001502,               0.001502,               0.001502
                     13,                0.67895,                 0.5662,                 1.0784,                0.60848,                0.82143,                0.70392,                0.47889,                 1.1691,                 1.1781,                 1.8233,              0.0014855,              0.0014855,              0.0014855
                     14,                0.69243,                0.57843,                 1.0939,                0.68283,                0.83214,                0.70076,                 0.4735,                 1.2673,                 1.0352,                 1.9335,               0.001469,               0.001469,               0.001469
                     15,                0.70068,                0.59012,                  1.092,                0.67547,                0.85714,                  0.772,                0.50538,                 1.1053,                 1.0145,                 1.7201,              0.0014525,              0.0014525,              0.0014525
                     16,                0.65294,                0.54404,                 1.0643,                0.77447,                0.89286,                0.86487,                0.59435,                0.86956,                0.85641,                 1.5414,               0.001436,               0.001436,               0.001436
                     17,                  0.665,                0.55308,                 1.0864,                0.74118,                0.78571,                 0.7713,                 0.5299,                 1.0715,                0.86726,                 1.7753,              0.0014195,              0.0014195,              0.0014195
                     18,                0.63209,                0.50491,                 1.0534,                0.76076,                0.77013,                 0.7686,                0.51354,                 1.1076,                 0.8483,                 1.7546,              0.0014029,              0.0014029,              0.0014029
                     19,                0.63338,                0.50282,                 1.0555,                0.76221,                0.85714,                0.87619,                0.60128,                 1.0235,                 0.8523,                 1.6773,              0.0013864,              0.0013864,              0.0013864
                     20,                  0.581,                 0.4806,                  1.031,                0.83861,                 0.7375,                0.84748,                0.57724,                0.92786,                0.82942,                 1.5937,              0.0013699,              0.0013699,              0.0013699
                     21,                0.62473,                0.51131,                 1.0525,                0.78005,                0.82143,                0.75593,                0.54504,                  1.054,                0.85446,                 1.8794,              0.0013534,              0.0013534,              0.0013534
                     22,                0.59505,                0.46488,                  1.028,                0.78307,                0.82143,                0.87017,                0.59556,                 1.0087,                 0.7744,                 1.6022,              0.0013369,              0.0013369,              0.0013369
                     23,                0.62214,                0.47749,                 1.0381,                0.72184,                0.82979,                0.79554,                 0.5479,                0.87445,                 0.7257,                 1.5524,              0.0013204,              0.0013204,              0.0013204
                     24,                 0.6063,                0.47453,                 1.0257,                0.92413,                0.85122,                0.87614,                0.58796,                0.90175,                0.68924,                 1.5761,              0.0013039,              0.0013039,              0.0013039
                     25,                0.56748,                0.44314,                 1.0133,                0.90858,                0.84724,                0.84445,                0.59384,                 1.0067,                0.71527,                 1.7536,              0.0012874,              0.0012874,              0.0012874
                     26,                0.55439,                0.44603,                 1.0137,                0.70897,                0.82143,                0.78904,                0.50263,                 1.2087,                0.85579,                 1.8294,              0.0012709,              0.0012709,              0.0012709
                     27,                0.54062,                0.43487,                 1.0101,                0.70155,                0.85714,                  0.793,                 0.5884,                0.87936,                0.68946,                  1.509,              0.0012544,              0.0012544,              0.0012544
                     28,                0.54831,                0.44238,                 1.0133,                0.90074,                0.78415,                0.88618,                0.66334,                0.84748,                0.61588,                 1.5039,              0.0012379,              0.0012379,              0.0012379
                     29,                0.55965,                0.45046,                 1.0177,                0.69788,                0.82143,                0.75229,                0.54743,                0.94744,                0.79395,                 1.6255,              0.0012214,              0.0012214,              0.0012214
                     30,                0.53358,                 0.4384,                 1.0094,                0.80799,                0.92051,                0.85501,                0.57682,                  0.948,                0.77683,                 1.6413,              0.0012049,              0.0012049,              0.0012049
                     31,                 0.5314,                0.41722,                 0.9978,                0.79739,                0.84464,                0.84461,                0.60428,                0.89425,                0.69002,                 1.5172,              0.0011884,              0.0011884,              0.0011884
                     32,                0.51473,                0.40718,                 0.9897,                0.85815,                0.84464,                0.87181,                0.60524,                 0.8992,                0.68719,                 1.5764,              0.0011719,              0.0011719,              0.0011719
                     33,                0.52314,                0.41254,                 0.9955,                0.83631,                0.87709,                0.89681,                 0.6091,                0.95412,                0.69368,                 1.5973,              0.0011554,              0.0011554,              0.0011554
                     34,                0.50274,                0.40668,                0.99615,                 0.6854,                0.82143,                  0.764,                0.58508,                0.84312,                0.74319,                 1.4943,              0.0011389,              0.0011389,              0.0011389
                     35,                0.49443,                 0.3955,                0.98683,                0.93325,                0.95796,                 0.9478,                0.70498,                0.75886,                0.57599,                  1.374,              0.0011224,              0.0011224,              0.0011224
                     36,                0.49489,                0.39469,                0.98628,                0.77099,                0.82143,                0.80172,                 0.6063,                0.88937,                0.70403,                 1.5644,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.4967,                0.39877,                0.98111,                0.81111,                0.82143,                 0.8174,                0.62073,                0.88461,                0.77311,                 1.5599,              0.0010894,              0.0010894,              0.0010894
                     38,                0.47853,                0.38394,                 0.9699,                0.82263,                0.82143,                 0.8261,                0.62267,                0.85555,                0.60887,                 1.4984,              0.0010729,              0.0010729,              0.0010729
                     39,                0.46435,                0.37894,                0.96306,                0.84841,                 0.8197,                0.82434,                0.61696,                0.80449,                0.64205,                  1.514,              0.0010564,              0.0010564,              0.0010564
                     40,                0.46258,                0.36193,                0.96609,                0.91362,                0.95389,                0.94675,                0.64684,                0.85779,                0.61172,                 1.4548,              0.0010399,              0.0010399,              0.0010399
                     41,                0.45394,                0.36548,                0.96858,                0.84957,                0.85535,                0.79535,                0.62718,                0.79538,                0.68389,                 1.4356,              0.0010234,              0.0010234,              0.0010234
                     42,                0.45137,                0.36191,                  0.967,                0.85154,                0.89286,                0.87976,                0.64932,                0.78386,                0.62876,                 1.3828,              0.0010069,              0.0010069,              0.0010069
                     43,                0.45133,                 0.3537,                0.95645,                0.85963,                0.94918,                0.91416,                0.66757,                0.78428,                0.59712,                 1.3954,             0.00099036,             0.00099036,             0.00099036
                     44,                0.44439,                0.35419,                0.95735,                 0.9335,                0.85714,                0.91352,                0.69418,                0.75727,                 0.5219,                  1.414,             0.00097386,             0.00097386,             0.00097386
                     45,                0.45229,                0.35074,                 0.9602,                0.92074,                0.89286,                0.95578,                0.68344,                0.81157,                0.49939,                 1.4958,             0.00095736,             0.00095736,             0.00095736
                     46,                0.44302,                0.34982,                0.95336,                0.90311,                0.95114,                0.94341,                0.65989,                0.84656,                0.53122,                 1.4724,             0.00094085,             0.00094085,             0.00094085
                     47,                0.44971,                0.37079,                0.96796,                0.83876,                      1,                0.93427,                0.66478,                 0.8131,                0.52339,                 1.4273,             0.00092435,             0.00092435,             0.00092435
                     48,                  0.435,                 0.3473,                0.95257,                0.70293,                0.89286,                0.82203,                0.61606,                0.89201,                0.65474,                  1.548,             0.00090785,             0.00090785,             0.00090785
                     49,                0.43692,                0.35357,                0.94985,                0.83709,                0.92857,                0.87052,                0.66499,                0.88071,                0.59299,                 1.5378,             0.00089134,             0.00089134,             0.00089134
                     50,                0.41791,                0.34189,                0.94436,                0.81076,                0.89286,                0.84492,                 0.6133,                0.87562,                0.59095,                 1.4784,             0.00087484,             0.00087484,             0.00087484
                     51,                0.42028,                0.33482,                0.95192,                0.80919,                0.85486,                0.81768,                 0.6349,                0.75327,                0.58018,                 1.4127,             0.00085834,             0.00085834,             0.00085834
                     52,                0.41314,                0.33084,                0.94786,                0.90719,                0.84644,                0.88495,                0.65558,                0.74197,                0.55388,                 1.3812,             0.00084184,             0.00084184,             0.00084184
