                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85708,                0.74173,                 1.2072,                0.67742,                0.82143,                 0.6989,                0.49514,                 1.0144,                0.83696,                 1.3013,              0.0011224,              0.0011224,              0.0011224
                     36,                0.83492,                0.70359,                 1.1833,                0.71207,                0.78571,                 0.7507,                0.51652,                0.98456,                0.89442,                 1.2465,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.8584,                0.78932,                 1.2128,                0.66466,                0.82143,                0.78431,                0.55357,                 1.0644,                0.83549,                 1.3175,              0.0010894,              0.0010894,              0.0010894
                     38,                0.81579,                0.71769,                 1.1915,                0.66208,                0.78571,                0.75087,                0.56117,                0.95452,                0.86413,                 1.2268,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.8054,                0.73287,                 1.1692,                0.62327,                 0.7375,                0.69666,                0.52693,                0.89133,                0.88334,                 1.1468,              0.0010564,              0.0010564,              0.0010564
                     40,                0.85204,                0.72172,                 1.2113,                 0.6225,                0.63036,                0.63871,                0.50141,                0.92123,                 1.1613,                  1.183,              0.0010399,              0.0010399,              0.0010399
                     41,                0.84067,                0.73197,                 1.1886,                0.57497,                0.69826,                 0.6384,                0.49472,                0.92587,                 1.0801,                 1.1541,              0.0010234,              0.0010234,              0.0010234
                     42,                0.73339,                0.66616,                 1.1263,                0.63994,                0.71429,                0.72942,                0.54541,                0.90719,                  1.042,                 1.1558,              0.0010069,              0.0010069,              0.0010069
                     43,                0.77057,                0.69349,                 1.1606,                0.56568,                0.80579,                0.72274,                0.51378,                 0.9762,                 0.8837,                 1.2063,             0.00099036,             0.00099036,             0.00099036
                     44,                0.80909,                0.71564,                 1.1774,                0.61046,                0.82143,                0.68335,                0.50631,                0.87378,                 0.8215,                 1.1755,             0.00097386,             0.00097386,             0.00097386
                     45,                0.75944,                0.69032,                 1.1662,                0.71104,                 0.8013,                0.72135,                0.53607,                0.91894,                0.75236,                 1.2269,             0.00095736,             0.00095736,             0.00095736
                     46,                0.78371,                 0.6902,                 1.1612,                0.75008,                0.82143,                0.75286,                0.53165,                0.99216,                0.67385,                 1.2721,             0.00094085,             0.00094085,             0.00094085
                     47,                0.83047,                 0.6496,                  1.194,                0.83332,                0.89286,                0.85064,                0.53918,                 1.0351,                0.66416,                 1.2566,             0.00092435,             0.00092435,             0.00092435
                     48,                0.81473,                0.67461,                 1.1924,                0.63859,                0.81964,                0.74773,                 0.5403,                 1.0294,                0.85642,                 1.2846,             0.00090785,             0.00090785,             0.00090785
                     49,                0.80984,                0.67858,                 1.1933,                0.66703,                0.81964,                0.70971,                0.53512,                0.97073,                0.86872,                 1.2666,             0.00089134,             0.00089134,             0.00089134
                     50,                0.74457,                0.64389,                 1.1443,                0.80721,                0.80311,                0.75936,                0.55291,                0.93945,                0.85779,                 1.2036,             0.00087484,             0.00087484,             0.00087484
                     51,                0.80882,                0.65741,                 1.1917,                0.72407,                0.76942,                0.78845,                0.54671,                0.93895,                0.83684,                 1.1746,             0.00085834,             0.00085834,             0.00085834
                     52,                0.71723,                0.60962,                 1.1169,                0.84077,                0.76179,                0.81945,                0.56929,                0.96094,                 0.7928,                 1.2116,             0.00084184,             0.00084184,             0.00084184
                     53,                0.81213,                0.66501,                 1.1927,                0.80443,                 0.8556,                0.80313,                0.57562,                0.94545,                0.69315,                 1.1878,             0.00082533,             0.00082533,             0.00082533
                     54,                0.76597,                0.65621,                 1.1609,                0.74293,                0.79643,                0.77444,                  0.552,                0.99311,                 0.7023,                 1.1811,             0.00080883,             0.00080883,             0.00080883
                     55,                0.72285,                0.61143,                 1.1309,                0.72236,                0.79643,                 0.7856,                 0.5647,                 1.0046,                0.69323,                 1.1787,             0.00079233,             0.00079233,             0.00079233
                     56,                0.71933,                0.59584,                 1.1389,                 0.7575,                 0.7375,                 0.7181,                0.53776,                0.95108,                 0.7809,                 1.2216,             0.00077582,             0.00077582,             0.00077582
                     57,                0.74377,                0.62497,                 1.1629,                0.71554,                0.74288,                0.73365,                0.51353,                 1.0302,                0.75119,                 1.2705,             0.00075932,             0.00075932,             0.00075932
                     58,                0.74889,                0.62471,                 1.1419,                0.64324,                0.78571,                0.70806,                0.49652,                0.98311,                0.76205,                 1.2207,             0.00074282,             0.00074282,             0.00074282
                     59,                0.75015,                0.62127,                 1.1375,                0.71975,                0.85714,                0.78292,                0.53712,                 1.0065,                 0.7648,                 1.2789,             0.00072631,             0.00072631,             0.00072631
                     60,                0.73529,                0.61389,                 1.1476,                0.76109,                0.77321,                0.75988,                0.55622,                 1.0425,                0.70819,                 1.3887,             0.00070981,             0.00070981,             0.00070981
                     61,                0.71581,                0.61014,                 1.1388,                0.81901,                0.84464,                 0.8109,                0.55315,                 1.0653,                0.77506,                 1.3726,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.6542,                0.58123,                 1.0876,                 0.7964,                0.84964,                0.77779,                0.55462,                0.99549,                0.67077,                 1.2916,              0.0006768,              0.0006768,              0.0006768
                     63,                0.68502,                0.56442,                 1.1133,                0.72446,                0.81755,                0.75987,                0.54327,                 0.9701,                0.68814,                 1.2723,              0.0006603,              0.0006603,              0.0006603
                     64,                0.71435,                 0.6017,                  1.147,                0.71249,                0.89286,                0.78347,                0.54864,                0.95105,                0.77025,                 1.2414,              0.0006438,              0.0006438,              0.0006438
                     65,                0.66442,                0.52938,                 1.1012,                0.73641,                0.77272,                0.76372,                0.57477,                0.87975,                0.75904,                 1.2028,             0.00062729,             0.00062729,             0.00062729
                     66,                0.67751,                 0.5802,                 1.1222,                0.68162,                0.78571,                0.69958,                0.55464,                0.94645,                0.70503,                 1.2603,             0.00061079,             0.00061079,             0.00061079
